repo_name,description,stars,forks,watchers,open_issues,language,created_at,updated_at,pushed_at,size,license,topics,has_wiki,has_discussions,scraped_at,avg_weekly_commits_4w
metabase/metabase,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:,47685,6545,47685,4196,Clojure,2015-02-02T19:25:47Z,2026-06-15T10:41:05Z,2026-06-15T10:46:25Z,1984246,Other,"analytics, bi, business-intelligence, businessintelligence, clojure, dashboard, data, data-analysis, data-visualization, database, metabase, mysql, postgres, postgresql, reporting, slack, sql-editor, visualization",True,False,2026-06-15T15:47:31.858059,
apache/echarts,"Apache ECharts is a powerful, interactive charting and data visualization library for browser",66591,19798,66591,1610,TypeScript,2013-04-03T03:18:59Z,2026-06-15T10:09:28Z,2026-06-02T08:36:48Z,270331,Apache License 2.0,"apache, canvas, charting-library, charts, data-visualization, data-viz, echarts, svg, visualization",True,False,2026-06-15T15:47:34.110803,
OpenHands/OpenHands,🙌 OpenHands: AI-Driven Development,77145,9801,77145,331,Python,2024-03-13T03:33:31Z,2026-06-15T10:45:13Z,2026-06-15T04:50:47Z,341893,Other,"agent, artificial-intelligence, chatgpt, claude-ai, cli, developer-tools, gpt, llm, openai",True,False,2026-06-15T15:47:36.362864,
files-community/Files,A modern file manager that helps users organize their files and folders.,43907,2748,43907,502,C#,2019-01-04T18:19:14Z,2026-06-15T10:24:06Z,2026-06-14T15:30:18Z,277241,MIT License,"alternatives, csharp, customization, developer-tools, dotnet, file-manager, files, fluent, fluent-design, git, good-first-issue, power-user, productivity, utilities, winappsdk, windows, windows-10, windows-11, winui, xaml",False,False,2026-06-15T15:47:38.718286,
great-expectations/great_expectations,Always know what to expect from your data.,11556,1760,11556,50,Python,2017-09-11T00:18:46Z,2026-06-15T09:50:31Z,2026-06-13T02:48:20Z,251046,Apache License 2.0,"cleandata, data-engineering, data-profilers, data-profiling, data-quality, data-science, data-unit-tests, datacleaner, datacleaning, dataquality, dataunittest, eda, exploratory-analysis, exploratory-data-analysis, exploratorydataanalysis, mlops, pipeline, pipeline-debt, pipeline-testing, pipeline-tests",True,True,2026-06-15T15:47:40.971737,
PostHog/posthog,"🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack.",35038,2858,35038,3886,Python,2020-01-23T22:46:58Z,2026-06-15T10:52:06Z,2026-06-15T10:52:12Z,5282470,Other,"ab-testing, ai-analytics, analytics, cdp, data-warehouse, experiments, feature-flags, javascript, product-analytics, python, react, session-replay, surveys, typescript, web-analytics",False,False,2026-06-15T15:47:43.430019,
go-gitea/gitea,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD",56307,6794,56307,2756,Go,2016-11-01T02:13:26Z,2026-06-15T10:42:20Z,2026-06-15T10:32:39Z,338553,MIT License,"bitbucket, cicd, devops, docker-registry-v2, git, git-gui, git-lfs, git-server, gitea, github, github-actions, gitlab, go, golang, hacktoberfest, maven-server, npm-registry, self-hosted, typescript, vue",False,False,2026-06-15T15:47:45.989485,
apache/superset,Apache Superset is a Data Visualization and Data Exploration Platform,73299,17613,73299,1161,TypeScript,2015-07-21T18:55:34Z,2026-06-15T10:10:37Z,2026-06-15T08:21:35Z,987399,Apache License 2.0,"analytics, apache, apache-superset, asf, bi, business-analytics, business-intelligence, data-analysis, data-analytics, data-engineering, data-science, data-visualization, data-viz, flask, python, react, sql-editor, superset",True,True,2026-06-15T15:47:48.344384,
nektos/act,Run your GitHub Actions locally 🚀,70788,1956,70788,338,Go,2019-01-02T19:53:43Z,2026-06-15T09:23:13Z,2026-06-01T03:30:25Z,17761,MIT License,"ci, devops, github-actions, golang",False,True,2026-06-15T15:47:50.597645,
grafana/grafana,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",74433,14068,74433,3634,TypeScript,2013-12-11T15:59:56Z,2026-06-15T09:37:44Z,2026-06-15T10:29:14Z,1798080,GNU Affero General Public License v3.0,"alerting, analytics, business-intelligence, dashboard, data-visualization, elasticsearch, go, grafana, hacktoberfest, influxdb, metrics, monitoring, mysql, postgres, prometheus",False,True,2026-06-15T15:47:52.893492,
gradio-app/gradio,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",42924,3487,42924,258,Python,2018-12-19T08:24:04Z,2026-06-15T09:57:27Z,2026-06-13T12:24:40Z,355974,Apache License 2.0,"data-analysis, data-science, data-visualization, deep-learning, deploy, gradio, gradio-interface, interface, machine-learning, models, python, python-notebook, ui, ui-components",True,False,2026-06-15T15:47:55.205489,
eugeneyan/applied-ml,📚 Papers & tech blogs by companies sharing their work on data science & machine learning in production.,29772,3949,29772,6,,2020-07-04T18:57:47Z,2026-06-15T05:22:23Z,2024-07-18T22:41:02Z,397,MIT License,"applied-data-science, applied-machine-learning, computer-vision, data-discovery, data-engineering, data-quality, data-science, deep-learning, machine-learning, natural-language-processing, production, recsys, reinforcement-learning, search",True,False,2026-06-15T15:47:57.356139,
GokuMohandas/Made-With-ML,"Learn how to develop, deploy and iterate on production-grade ML applications.",48108,7571,48108,25,Jupyter Notebook,2018-11-05T03:44:27Z,2026-06-15T10:46:13Z,2026-03-04T23:44:21Z,3447,MIT License,"data-engineering, data-quality, data-science, deep-learning, distributed-ml, distributed-training, llms, machine-learning, mlops, natural-language-processing, python, pytorch, ray",True,False,2026-06-15T15:47:59.404476,
PrefectHQ/prefect,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,22611,2337,22611,838,Python,2018-06-29T21:59:26Z,2026-06-15T09:30:59Z,2026-06-14T17:57:09Z,224300,Apache License 2.0,"automation, data, data-engineering, data-ops, data-science, infrastructure, ml-ops, observability, orchestration, pipeline, prefect, python, workflow, workflow-engine",False,True,2026-06-15T15:48:02.168547,
ultralytics/yolov5,Ultralytics YOLOv5 in PyTorch > ONNX > CoreML > TFLite,57523,17468,57523,41,Python,2020-05-18T03:45:11Z,2026-06-15T09:43:56Z,2026-06-12T21:10:15Z,17842,GNU Affero General Public License v3.0,"coreml, deep-learning, ios, machine-learning, ml, object-detection, onnx, pytorch, tflite, ultralytics, yolo, yolov3, yolov5",True,True,2026-06-15T15:48:04.523369,
Kong/kong,🦍 The API and AI Gateway,43590,5150,43590,151,Lua,2014-11-17T23:56:08Z,2026-06-15T10:35:35Z,2026-06-15T08:10:21Z,97744,Apache License 2.0,"ai, ai-gateway, api-gateway, api-management, apis, artificial-intelligence, cloud-native, devops, kubernetes, kubernetes-ingress, kubernetes-ingress-controller, llm-gateway, llm-ops, mcp, mcp-gateway, microservice, microservices, openai-proxy, reverse-proxy, serverless",False,True,2026-06-15T15:48:06.878634,
