repo_name,description,stars,forks,watchers,open_issues,language,created_at,updated_at,pushed_at,size,license,topics,has_wiki,has_discussions,scraped_at,avg_weekly_commits_4w
mindsdb/minds,"General-purpose AI designed for knowledge workers — creators, strategists, and operators — and individuals seeking AI systems they can truly control to help them get work done, with full flexibility to extend and deploy anywhere (VPC, on-prem, or cloud).",39303,6210,39303,88,Dockerfile,2018-08-02T17:56:45Z,2026-06-15T10:03:19Z,2026-06-15T05:06:45Z,281245,MIT License,"agents, ai, analytics, artificial-inteligence, bigquery, business-intelligence, databases, hacktoberfest, llms, mcp, mssql, mysql, postgresql, rag",True,True,2026-06-15T15:48:44.163727,
binhnguyennus/awesome-scalability,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems",71746,7016,71746,23,,2017-12-27T03:46:40Z,2026-06-15T10:05:20Z,2026-01-04T03:51:47Z,1607,MIT License,"architecture, awesome, awesome-list, backend, big-data, computer-science, design-patterns, devops, distributed-systems, interview, interview-practice, interview-questions, lists, machine-learning, programming, resources, scalability, system, system-design, web-development",False,False,2026-06-15T15:48:46.303376,
airbytehq/airbyte,"Open-source data movement for ELT pipelines and AI agents — from APIs, databases & files to warehouses, lakes, and AI applications. Both self-hosted and Cloud.",21459,5221,21459,2255,Python,2020-07-27T23:55:54Z,2026-06-15T08:02:10Z,2026-06-15T10:48:06Z,870183,Other,"bigquery, change-data-capture, data, data-analysis, data-collection, data-engineering, data-integration, data-pipeline, elt, etl, java, mssql, mysql, pipeline, postgresql, python, redshift, s3, self-hosted, snowflake",False,True,2026-06-15T15:48:48.512382,
Dokploy/dokploy,"Open Source Alternative to Vercel, Netlify and Heroku.",34869,2633,34869,644,TypeScript,2024-04-19T07:49:30Z,2026-06-15T10:25:25Z,2026-06-12T21:59:57Z,30217,Other,"backend, backups, databases, deployment, devops, docker, frontend, mariadb, mongodb, mysql, nextjs, postgresql, self-hosted, vps",True,True,2026-06-15T15:48:50.706396,
hoppscotch/hoppscotch,"Open-Source API Development Ecosystem • https://hoppscotch.io • Offline, On-Prem & Cloud • Web, Desktop & CLI • Open-Source Alternative to Postman, Insomnia",79537,5916,79537,748,TypeScript,2019-08-21T13:15:24Z,2026-06-15T09:44:21Z,2026-06-15T03:23:13Z,98383,MIT License,"api, api-client, api-rest, api-testing, developer-tools, graphql, http, http-client, pwa, rest, rest-api, spa, testing, testing-tools, tools, vue, vuejs, websocket",True,True,2026-06-15T15:48:53.266849,
getsentry/sentry,Developer-first error tracking and performance monitoring,44101,4725,44101,2134,Python,2010-08-30T22:06:41Z,2026-06-15T10:45:03Z,2026-06-15T10:44:58Z,892679,Other,"apm, crash-reporting, crash-reports, csp-report, devops, django, error-logging, error-monitoring, fair-source, hacktoberfest, monitor, monitoring, python, sentry, tag-production",False,True,2026-06-15T15:48:55.622657,
scikit-learn/scikit-learn,scikit-learn: machine learning in Python,66339,27062,66339,2075,Python,2010-08-17T09:43:38Z,2026-06-15T09:24:25Z,2026-06-13T11:13:42Z,185939,"BSD 3-Clause ""New"" or ""Revised"" License","data-analysis, data-science, machine-learning, python, statistics",True,True,2026-06-15T15:48:57.977159,
datastacktv/data-engineer-roadmap,Roadmap to becoming a data engineer in 2021,12747,1340,12747,30,,2020-09-02T13:38:54Z,2026-06-14T22:39:36Z,2022-01-25T21:09:00Z,3605,,"cloud, data-engineer-roadmap, data-engineering, roadmap",True,False,2026-06-15T15:49:00.332995,
netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",79163,6452,79163,335,C,2013-06-17T18:39:10Z,2026-06-15T09:21:58Z,2026-06-15T07:47:41Z,284447,GNU General Public License v3.0,"ai, alerting, cncf, data-visualization, database, devops, docker, grafana, influxdb, kubernetes, linux, machine-learning, mcp, mongodb, monitoring, mysql, netdata, observability, postgresql, prometheus",False,True,2026-06-15T15:49:02.585615,
localstack/localstack,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline,65050,4736,65050,0,Python,2016-10-25T23:48:03Z,2026-06-15T06:51:13Z,2026-03-23T08:52:01Z,57561,Other,"aws, cloud, continuous-integration, developer-tools, localstack, python, testing",False,False,2026-06-15T15:49:04.735882,
directus/directus,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more.",36026,4790,36026,378,TypeScript,2012-12-12T01:35:36Z,2026-06-15T10:43:15Z,2026-06-15T09:45:50Z,443473,Other,"api, app, cms, composable, data-visualization, database, directus, graphql, headless-cms, javascript, mariadb, mssql, mysql, no-code, node, postgresql, sql, sqlite, typescript, vue",False,True,2026-06-15T15:49:06.978384,
affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",215789,33164,215789,66,JavaScript,2026-01-18T00:51:51Z,2026-06-15T10:52:15Z,2026-06-15T04:56:13Z,38140,MIT License,"ai-agents, anthropic, claude, claude-code, developer-tools, llm, mcp, productivity",True,True,2026-06-15T15:49:09.138658,
d3/d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",113091,22719,113091,20,Shell,2010-09-27T17:22:42Z,2026-06-15T05:21:44Z,2026-05-28T14:43:01Z,59348,ISC License,"chart, charts, d3, data-visualization, svg, visualization",False,True,2026-06-15T15:49:11.801243,
GitHubDaily/GitHubDaily,"坚持分享 GitHub 上高质量、有趣实用的开源技术教程、开发者工具、编程网站、技术资讯。A list cool, interesting projects of GitHub.",46781,4641,46781,643,,2018-12-30T13:56:58Z,2026-06-15T10:13:26Z,2025-12-31T18:59:20Z,3027,,"ai, algorithms-and-data-structures, backend, developer-tools, development, frontend, github, java, javascript, kubernetes, linux, markdown, open-source, python, tutorials, web",True,False,2026-06-15T15:49:14.053988,
apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",45816,17243,45816,1719,Python,2015-04-13T18:04:58Z,2026-06-15T10:50:05Z,2026-06-15T10:46:28Z,639423,Apache License 2.0,"airflow, apache, apache-airflow, automation, dag, data-engineering, data-integration, data-orchestrator, data-pipelines, data-science, elt, etl, machine-learning, mlops, orchestration, python, scheduler, workflow, workflow-engine, workflow-orchestration",False,True,2026-06-15T15:49:16.350842,
Avaiga/taipy,Turns Data and AI algorithms into production-ready web applications in no time.,19241,1987,19241,208,Python,2022-02-18T15:55:45Z,2026-06-15T09:35:48Z,2026-05-29T11:35:35Z,158680,Apache License 2.0,"automation, data-engineering, data-integration, data-ops, data-visualization, datascience, developer-tools, hacktoberfest, hacktoberfest2023, job-scheduler, mlops, orchestration, pipeline, pipelines, python, scenario, scenario-analysis, taipy-core, taipy-gui, workflow",True,True,2026-06-15T15:49:18.764740,
matomo-org/matomo,"Empowering People Ethically 🚀 — Matomo is hiring! Join us → https://matomo.org/jobs Matomo is the leading open-source alternative to Google Analytics, giving you complete control and built-in privacy. Easily collect, visualise, and analyse data from websites & apps. Star us on GitHub ⭐️  – Pull Requests welcome! ",21596,2857,21596,2537,PHP,2011-03-30T21:18:17Z,2026-06-15T07:57:05Z,2026-06-15T10:11:24Z,351059,GNU General Public License v3.0,"analytics, growth, hacktoberfest, intranet, log, marketing, matomo, mobile, mysql, php, piwik, privacy, security, web-analytics, website",True,False,2026-06-15T15:49:21.032914,
agno-agi/agno,"Build, run, and manage agent platforms.",40688,5523,40688,927,Python,2022-05-04T15:23:02Z,2026-06-15T09:52:46Z,2026-06-15T10:45:29Z,290014,Apache License 2.0,"agents, ai, ai-agents, developer-tools, python",True,True,2026-06-15T15:49:23.371843,
academic/awesome-datascience,:memo: An awesome Data Science repository to learn and apply for real world problems.,29408,6558,29408,4,,2014-07-05T07:07:43Z,2026-06-15T08:50:07Z,2026-06-13T05:56:52Z,1555,MIT License,"analytics, awesome-list, data-mining, data-science, data-scientists, data-visualization, deep-learning, hacktoberfest, machine-learning, science",True,True,2026-06-15T15:49:25.727976,
trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",228462,13703,228462,153,,2018-06-23T10:43:14Z,2026-06-15T10:26:11Z,2024-11-19T14:00:38Z,1748,MIT License,"awesome, awesome-list, bsd, cheatsheets, devops, guidelines, hacking, hacks, howtos, linux, lists, manuals, one-liners, pentesters, resources, search-engines, security, security-researchers, sysops",False,False,2026-06-15T15:49:27.980036,
awesome-foss/awesome-sysadmin,A curated list of amazingly awesome open-source sysadmin resources.,34316,2065,34316,67,,2014-12-23T08:41:22Z,2026-06-15T09:44:18Z,2026-06-03T21:31:07Z,1327,Other,"awesome, awesome-list, devops, list, ops, self-hosted, software, sre, sysadmin",False,False,2026-06-15T15:49:30.335051,
rtk-ai/rtk,"CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies",62442,3866,62442,1227,Rust,2026-01-22T16:54:16Z,2026-06-15T10:49:52Z,2026-06-14T16:30:02Z,5118,Apache License 2.0,"agentic-coding, ai-coding, anthropic, claude-code, cli, command-line-tool, cost-reduction, developer-tools, llm, open-source, productivity, rust, token-optimization",True,True,2026-06-15T15:49:32.589190,
plotly/dash,Data Apps & Dashboards for Python. No JavaScript Required.,24259,2300,24259,546,Python,2015-04-10T01:53:08Z,2026-06-15T09:58:49Z,2026-06-11T16:47:14Z,206361,MIT License,"ai, bioinformatics, charting, dash, dashboards, data-science, data-visualization, finance, flask, gui-framework, jupyter, plotly, plotly-dash, productivity, python, react, technical-computing, web-app",False,False,2026-06-15T15:49:34.751731,
puppeteer/puppeteer,JavaScript API for Chrome and Firefox,94743,9439,94743,265,TypeScript,2017-05-09T22:16:13Z,2026-06-15T10:44:02Z,2026-06-14T03:02:56Z,1453946,Apache License 2.0,"automation, chrome, chromium, developer-tools, firefox, headless-chrome, node-module, testing, web",False,False,2026-06-15T15:49:37.079362,
deepfakes/faceswap,Deepfakes Software For All,55285,13365,55285,8,Python,2017-12-19T09:44:13Z,2026-06-15T10:11:25Z,2026-05-29T10:41:20Z,205403,GNU General Public License v3.0,"deep-face-swap, deep-learning, deep-neural-networks, deepface, deepfakes, deeplearning, face-swap, faceswap, fakeapp, machine-learning, myfakeapp, neural-nets, neural-networks, openfaceswap",False,False,2026-06-15T15:49:39.172269,
DataTalksClub/data-engineering-zoomcamp,Data Engineering Zoomcamp is a free 9-week course on building production-ready data pipelines. The next cohort starts in January 2026. Join the course here 👇🏼,42452,8401,42452,0,Jupyter Notebook,2021-10-21T09:32:50Z,2026-06-15T10:49:39Z,2026-06-10T09:34:17Z,13390,,"course, data-engineering, dbt, docker, free, kafka, kestra, spark",True,False,2026-06-15T15:49:41.395344,
d2l-ai/d2l-zh,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,78337,12270,78337,130,Python,2017-08-23T04:40:24Z,2026-06-15T10:21:08Z,2024-07-30T09:32:19Z,316965,Apache License 2.0,"book, chinese, computer-vision, deep-learning, machine-learning, natural-language-processing, notebook, python",False,False,2026-06-15T15:49:43.547020,
ComposioHQ/awesome-claude-skills,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows",64654,7152,64654,812,Python,2025-10-17T07:15:01Z,2026-06-15T10:48:33Z,2026-05-22T03:17:49Z,4519,,"agent-skills, ai-agents, antigravity, automation, claude, claude-code, codex, composio, cursor, developer-tools, gemini-cli, mcp, openai-codex, rube, saas, skill, workflow-automation",True,False,2026-06-15T15:49:45.901086,
roboflow/supervision,We write your reusable computer vision tools. 💜,44268,3935,44268,109,Python,2022-11-28T14:08:44Z,2026-06-15T10:48:00Z,2026-06-15T08:21:10Z,3430312,MIT License,"classification, coco, computer-vision, deep-learning, hacktoberfest, image-processing, instance-segmentation, low-code, machine-learning, metrics, object-detection, oriented-bounding-box, pascal-voc, python, pytorch, tensorflow, tracking, video-processing, yolo",False,True,2026-06-15T15:49:48.257584,
usebruno/bruno,Opensource IDE For Exploring and Testing API's (lightweight alternative to Postman/Insomnia),44909,2580,44909,1715,JavaScript,2022-09-27T20:51:45Z,2026-06-15T10:53:04Z,2026-06-15T07:31:19Z,50896,MIT License,"api-client, api-testing, automation, developer-tools, git, graphql-client, http-client, javascript, openapi, openapi3, opensource, rest-api, testing, testing-tools",False,True,2026-06-15T15:49:50.610831,
